Name,Minutes,Tries,Try Assists,Try Contributions,Carries,Meters,Defenders Beaten,Linebreaks,Offloads,Tackles,Missed Tackles,Turnovers Won,Turnovers Lost,Penalties,Kicks,Passes,Dominant Tackles,Games Played,Position
Matt Proctor,80,1,0,0.0,8.0,50,0,1,1,7,1,0.0,0,1.0,0.0,6,0.0,1,Center
Matt Todd,773,3,0,4.0,81.0,240,11,11,8,149,8,9.0,8,7.0,0.0,47,0.0,22,Openside
Mitchell Drummond,22,0,0,0.0,0.0,0,0,0,0,3,0,0.0,0,0.0,0.0,14,0.0,1,Halfback
Nathan Harris,249,1,1,2.0,9.0,32,1,1,0,35,8,1.0,0,1.0,1.0,8,0.0,18,Hooker
Nehe Milner-Skudder,293,4,1,1.0,38.0,333,13,12,3,10,2,0.0,6,0.0,3.0,24,0.0,5,Wing
Nepo Laulala,2377,0,0,1.0,155.0,144,7,0,5,205,49,4.0,13,27.0,0.0,51,4.0,48,Prop
Ngani Laumape,659,8,3,5.0,83.0,526,25,15,5,59,7,1.0,11,1.0,6.0,62,0.0,14,Second Five
Ofa Tu'ungafasi,1718,1,0,2.0,194.0,191,6,0,4,205,46,12.0,17,36.0,0.0,65,2.0,54,Prop
Owen Franks,1499,0,0,2.0,82.0,56,2,1,3,212,33,1.0,9,23.0,0.0,29,0.0,30,Prop
Patrick Tuipulotu,1314,5,3,5.0,126.0,381,22,7,10,130,17,3.0,22,8.0,0.0,63,1.0,33,Lock
Pita Gus Sowakula,30,1,0,0.0,6.0,7,1,0,0,8,0,0.0,2,2.0,0.0,1,0.0,2,Number 8
Quinn Tupaea,636,2,4,8.0,105.0,603,24,5,10,56,12,2.0,8,4.0,1.0,52,1.0,14,Second Five
Richie Mo'unga,3065,8,22,56.0,356.0,1775,139,29,37,223,49,5.0,46,10.0,215.0,847,5.0,53,First Five
Rieko Ioane,4705,34,17,30.0,521.0,4449,200,98,61,286,68,10.0,69,27.0,3.0,296,6.0,67,Wing
Roger Tuivasa-Sheck,91,0,2,3.0,19.0,61,6,0,5,13,2,0.0,0,0.0,0.0,12,0.0,3,Second Five
Ryan Crotty,1953,10,3,21.0,203.0,1017,52,29,15,217,29,6.0,19,6.0,7.0,210,0.0,33,Second Five
Sam Cane,3757,5,3,10.0,346.0,641,21,13,37,658,76,35.0,35,32.0,2.0,305,12.0,61,Openside
Sam Whitelock,5448,3,0,5.0,445.0,642,31,7,23,787,54,26.0,25,54.0,1.0,252,13.0,78,Lock
Samipeni Finau,80,1,0,0.0,19.0,43,1,0,0,17,2,0.0,1,2.0,0.0,2,3.0,1,Blindside
Samisoni Taukei'aho,1064,10,1,4.0,250.0,475,40,3,11,150,14,3.0,15,11.0,0.0,46,14.0,30,Hooker
Scott Barrett,3714,7,3,8.0,351.0,703,33,12,17,454,51,19.0,29,40.0,0.0,219,11.0,67,Lock
Seta Tamanivalu,64,0,0,0.0,10.0,41,4,1,2,9,3,0.0,3,0.0,1.0,8,0.0,3,Center
Sevu Reece,1608,15,2,3.0,167.0,1183,66,37,20,102,25,4.0,28,6.0,8.0,87,1.0,23,Wing
Shannon Frizell,1609,8,2,8.0,248.0,548,39,13,17,242,33,4.0,19,15.0,0.0,106,8.0,30,Blindside
Shaun Stevenson,80,1,0,0.0,15.0,55,1,0,2,9,2,2.0,2,0.0,3.0,6,1.0,1,Wing
Sonny Bill Williams,1485,4,8,20.0,226.0,669,27,16,51,163,30,8.0,24,13.0,11.0,174,0.0,25,Second Five
Stephen Perofeta,83,0,0,1.0,10.0,50,1,0,1,1,2,0.0,2,0.0,2.0,9,0.0,3,First Five
Steven Luatua,80,1,0,0.0,11.0,37,0,2,1,7,0,0.0,1,2.0,0.0,9,0.0,1,Number 8
TJ Perenara,1941,15,17,63.0,166.0,837,28,31,20,160,26,22.0,34,7.0,74.0,1917,0.0,60,Halfback
Tamaiti Williams,223,1,0,0.0,14.0,25,4,0,0,20,3,0.0,2,3.0,0.0,9,3.0,8,Prop
Tawera Kerr-Barlow,139,1,3,9.0,12.0,41,1,1,0,17,1,1.0,3,1.0,17.0,139,0.0,7,Halfback
Te Toiroa Tahuriorangi,97,1,1,3.0,8.0,80,3,5,0,8,3,0.0,2,0.0,3.0,111,0.0,3,Halfback
Tim Perry,149,0,0,0.0,6.0,2,0,0,0,24,3,0.0,0,3.0,0.0,3,0.0,6,Prop
Tupou Vaa'i,767,3,1,2.0,117.0,264,13,3,6,81,9,1.0,12,7.0,0.0,74,1.0,25,Lock
Tyrel Lomax,1268,0,0,1.0,108.0,92,0,0,2,163,30,2.0,5,23.0,0.0,21,3.0,30,Prop
Vaea Fifita,603,2,0,0.0,54.0,327,22,9,3,68,12,5.0,6,4.0,0.0,17,0.0,11,Blindside
Waisake Naholo,1510,15,4,8.0,201.0,1571,79,53,15,77,32,15.0,28,12.0,15.0,92,0.0,23,Wing
Will Jordan,2064,31,9,17.0,263.0,2137,70,64,23,143,18,5.0,39,9.0,44.0,166,13.0,31,Wing
Wyatt Crockett,832,1,1,4.0,47.0,78,1,2,6,97,24,2.0,5,24.0,0.0,37,0.0,26,Prop
